ID товара,Наименование,Бренд,Актуальная Цена,Старая цена,Ссылка
Артикул: 116780,"Мороженое M&M's сливочное с драже, 295г",M&M'S,499,,https://online.metro-cc.ru/products/295g-morozhenoe-m-m-039s-vederko-bzmzh
Артикул: 221106,"Мороженое Чистая Линия волшебный фонарь, 80г",ЧИСТАЯ ЛИНИЯ,89,145,https://online.metro-cc.ru/products/80g-morozhenoe-chistaya-liniya-volshebnyy-fonar-bzmzh
Артикул: 217596,"Мороженое Золотой стандарт черника в вафельном стаканчике, 93г",ЗОЛОТОЙ СТАНДАРТ,70.90,,https://online.metro-cc.ru/products/93g-morozhenoe-zolotoy-standart-chernika-vafst-bzmzh
Артикул: 218494,"Мороженое Коровка из Кореновки фисташка-малина, 200г",КОРОВКА ИЗ КОРЕНОВКИ,209,,https://online.metro-cc.ru/products/200g-morozhenoe-korovka-iz-korenovki-fistmalin-bzmzh
Артикул: 128435,"RIOBA Мороженое сливочное клубника со сливками, 75г",RIOBA,80.91,,https://online.metro-cc.ru/products/75g-slivochn-rioba-klubn-slivk-bzmzh
Артикул: 611683,"Мороженое Gelato Di Natura молочное йогурт, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-jogurt-kontejner-1575kg
Артикул: 113065,"Мороженое Oreo сливочное с кусочками печенья, 263г",OREO,469,,https://online.metro-cc.ru/products/morozhenoe-slivochnoe-oreo-s-kusochkami-pechenya-vederko-263g
Артикул: 218289,"Десерт Айскро растительный кокос-ежевика-миндаль замороженный, 75г",АЙСКРО,144,,https://online.metro-cc.ru/products/75g-desert-rastitelnyy-ayskro-kokosezhevikamindal-zam
Артикул: 85491,"Мороженое Чистая Линия Лакомка в шоколадной глазури, 80г",ЧИСТАЯ ЛИНИЯ,99.90,149,https://online.metro-cc.ru/products/lakomka-v-shokoladnoj-glazuri-chistaya-liniya-80g-bzmzh
Артикул: 109179,"Чай Айскро апельсиновый с черной смородиной и чабрецом замороженный, 150г",АЙСКРО,163,,https://online.metro-cc.ru/products/chaj-apelsinovyj-ajskro-s-chernoj-smorodinoj-chabrecom-zamorozhennyj-150-g
Артикул: 128366,"Мороженое Чистая Линия Пралине Пломбир, 270г",ЧИСТАЯ ЛИНИЯ,399,829,https://online.metro-cc.ru/products/chistaya-liniya-praline-vederko-270g-bzmzh
Артикул: 519386,Мороженое Gelato Di natura молочное клубничное 1.575кг,GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-klubnika-kontejner-15kg
Артикул: 499992,"Мороженое Gelato Di Natura молочное ванильное, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-vanil-kontejner-15kg
Артикул: 435950,"aro Мороженое ванильное вафельный стаканчик, 70г",ARO,16.19,,https://online.metro-cc.ru/products/vanilnoe-aro-vafelnyj-stakanchik-70g
Артикул: 218341,"Мороженое Brandice малина-протеин, 300г",BRANDICE,389,479,https://online.metro-cc.ru/products/morozhenoe-brandice-malina-protein-300g
Артикул: 450251,"Мороженое Чистая Линия Пломбир рожок гигант, 110г",ЧИСТАЯ ЛИНИЯ,79.90,141,https://online.metro-cc.ru/products/plombir-chistaya-liniya-gigant-rozhok-110g-bzmzh
Артикул: 85869,"Фруктовый лед Paleta Индийское манго, 70г",TM PALETA,125,,https://online.metro-cc.ru/products/fruktovyj-led-tm-paleta-indijskoe-mango-70-g
Артикул: 218294,"Мороженое Brandice клубника-банан в вафельном стаканчике, 70г",BRANDICE,89.90,129,https://online.metro-cc.ru/products/70g-morozhenoe-brandice-klubnikabanan-vafst-bzmzh
Артикул: 137166,"Мороженое Monterra Кокос и шоколад, 263г",MONTERRA,469,,https://online.metro-cc.ru/products/morozhenoe-monterra-kokos-shokolad-263g-bzmzh
Артикул: 219120,"Мороженое Brandice шоколадное с миндалем, 60г",BRANDICE,109,155,https://online.metro-cc.ru/products/60g-morozhenoe-brandice-shokoladnoe-s-mindalem-bzmzh
Артикул: 220862,"Лед фруктовый Чистая Линия вкусовые сосочки (15г x 5шт), 75г",ЧИСТАЯ ЛИНИЯ,99.90,152,https://online.metro-cc.ru/products/5shth15g-fruktovyy-led-chistaya-liniya-vkusovye-sosochki
Артикул: 356151,"Мороженое Чистая Линия Пломбир в вафлях брикет, 80г",ЧИСТАЯ ЛИНИЯ,69.91,102,https://online.metro-cc.ru/products/plombir-chistaya-liniya-na-vaflyah-briket-80g-bzmzh
Артикул: 218351,"Мороженое Brandice эскимо белый бархат, 70г",BRANDICE,119,162,https://online.metro-cc.ru/products/70g-morozhenoe-eskimo-brandice-belyy-barhat-bzmzh
Артикул: 648419,"aro Мороженое шоколадное вафельный стаканчик, 70г",ARO,16.19,,https://online.metro-cc.ru/products/aro-morozhenoe-shokoladnoe-vafelniy-stakanchik-70g
Артикул: 226051,"Мороженое пломбир А.Ростагрокомплекс Эскимо в молочном шоколаде с ванилью 15%, 65г",А.РОСТАГРОКОМПЛЕКС,80.91,,https://online.metro-cc.ru/products/65g-morozhenoe-eskimo-arostagrokompleks-vanil-bzmzh
Артикул: 128316,"Мороженое Milka лесные ягоды, 64г",MILKA,152,,https://online.metro-cc.ru/products/64g-milka-lesnye-yagody-bzmzh
Артикул: 117975,"Мороженое Свитлогорье Эскимо Пломбир крем-брюле 15%, 80г",СВИТЛОГОРЬЕ,84.90,,https://online.metro-cc.ru/products/80g-eskimo-svitlogorye-plombir-krem-bryule-v-glazuri-bzmzh
Артикул: 218486,"Мороженое Коровка из Кореновки вишня в вафельном стаканчике, 100г",КОРОВКА ИЗ КОРЕНОВКИ,99.90,,https://online.metro-cc.ru/products/100g-morozhenoe-korovka-iz-korenovki-vishn-vafst-bzmzh
Артикул: 84114,"Мороженое 48 копеек Пломбир с глазурью и кусочками миндаля рожок, 106г",48 КОПЕЕК,133,,https://online.metro-cc.ru/products/morozhenoe-48-kopeek-rozhok-plombir-106g-bzmzh
Артикул: 117977,"Мороженое Свитлогорье Эскимо Пломбир ванильный в глазури, 80г",СВИТЛОГОРЬЕ,84.90,,https://online.metro-cc.ru/products/80g-eskimo-svitlogorye-plombir-vanilnyj-v-glazuri-bzmzh
Артикул: 545938,"Мороженое Чистая Линия Пломбироешка пломбир ванильный контейнер, 450г",ЧИСТАЯ ЛИНИЯ,379.01,569,https://online.metro-cc.ru/products/plombir-chistaya-liniya-plombiroeshka-vanilnoe-kontejner-450g-bzmzh
Артикул: 117167,"Мороженое Чистая Линия Эскимо Пломбир малиновый кактус, 80г",ЧИСТАЯ ЛИНИЯ,99.90,162,https://online.metro-cc.ru/products/plombir-chistaya-liniya-malinovyj-kaktus-bzmzh-80-g
Артикул: 137546,"METRO Chef Сорбет малина замороженный, 1.5кг",METRO CHEF,1199,,https://online.metro-cc.ru/products/15kg-sorbet-metro-chef-malina-zamorozhennyy
Артикул: 226048,"Мороженое пломбир А.Ростагрокомплекс Эскимо с соленой карамелью в молочном шоколаде с дробленым миндалем 15%, 65г",А.РОСТАГРОКОМПЛЕКС,80.91,,https://online.metro-cc.ru/products/65g-morozhen-eskimo-arostagrokompleks-sol-karam-bzmzh
Артикул: 226047,"Мороженое пломбир А.Ростагрокомплекс Эскимо с голубикой и ежевикой в молочном шоколаде 15%, 65г",А.РОСТАГРОКОМПЛЕКС,80.91,,https://online.metro-cc.ru/products/65g-morozhen-eskimo-arostagrokompleks-golubika-bzmzh
Артикул: 217611,"Мороженое 48 копеек пломбир в яблочной глазури, 58г",48 КОПЕЕК,65.90,,https://online.metro-cc.ru/products/58g-morozhenoe-plombir-48-kopeek-v-yabloch-glazuri-bzmzh
Артикул: 218292,"Мороженое Brandice ванильное, 60г",BRANDICE,109,155,https://online.metro-cc.ru/products/60g-morozhenoe-brandice-vanilnoe-bzmzh
Артикул: 85871,"Фруктовый лед Paleta Маракуйя и семена чиа, 70г",TM PALETA,125,,https://online.metro-cc.ru/products/fruktovyj-led-tm-paleta-iz-marakuji-chia-70-g
Артикул: 218295,"Мороженое Brandice эскимо волшебные леденцы, 70г",BRANDICE,119,162,https://online.metro-cc.ru/products/70g-morozhenoe-eskimo-brandice-volshebnye-ledentsy-bzmzh
Артикул: 312475,"Мороженое Ekzo молочное черника-ежевика, 520г",EKZO,479,,https://online.metro-cc.ru/products/ekzo-vedro-chernika-ezhevika-520-gr
Артикул: 128318,"Мороженое 48 копеек Манго со сливками стаканчик, 94г",48 КОПЕЕК,95.90,,https://online.metro-cc.ru/products/94g-48-kopeek-mango-stakanchik-bzmzh
Артикул: 593211,"Мороженое Iceumi Mochi Ice Cream сливочное в рисовой глазури с манго (35г х 8шт), 300г",ICEUMI,839,,https://online.metro-cc.ru/products/modzhi-iceumi-mochi-mango-v-upakovke-8h35g-bzmzh
Артикул: 85870,"Мороженое Paleta Эскимо кокос-шоколад, 70г",TM PALETA,125,,https://online.metro-cc.ru/products/tm-paleta-kokos-s-belgijskij-shokoladom-70-g
Артикул: 110856,"Чай Nordictea яблочный глинтвейн замороженный, 50г",NORDICTEA,113,,https://online.metro-cc.ru/products/chaj-nordictea-yablochnyj-glintvejn-50g
Артикул: 128438,"RIOBA Сорбет манго-груша, 75г",RIOBA,99.90,,https://online.metro-cc.ru/products/75g-sorbet-rioba-mango-grusha
Артикул: 218288,"Десерт Айскро растительный голубика замороженный, 75г",АЙСКРО,144,,https://online.metro-cc.ru/products/75g-desert-rastitelnyy-ayskro-golubika-zamorozhennyy
Артикул: 221100,"Мороженое Чистая Линия трубочка ваниль-глазурь, 70г",ЧИСТАЯ ЛИНИЯ,74.90,108,https://online.metro-cc.ru/products/70g-morozhenoe-chistaya-liniya-trubochka-vanglazur-bzmzh
Артикул: 117231,"Мороженое Чистая Линия ванильное брикет, 200г",ЧИСТАЯ ЛИНИЯ,129,184,https://online.metro-cc.ru/products/briket-chistaya-liniya-vanilnyj-bzmzh-200g
Артикул: 633573,"Мороженое Baskin Robbins Шоколадное, 600г",BASKIN ROBBINS,719,,https://online.metro-cc.ru/products/baskin-robbins-shokolad-1000ml-600g-bzmzh
Артикул: 117169,"Рожок Чистая Линия Радуга ванильный, 110г",ЧИСТАЯ ЛИНИЯ,89.90,149,https://online.metro-cc.ru/products/rozhok-chistaya-liniya-raduga-vanilnyj-bzmzh-110-g
Артикул: 221122,"Мороженое Чистая Линия крем-брюле в вафельном стаканчике, 80г",ЧИСТАЯ ЛИНИЯ,69.91,109,https://online.metro-cc.ru/products/80g-morozhenoe-chistaya-liniya-krem-bryule-vafst-bzmzh
Артикул: 107431,"Мороженое Чистая Линия Радуга Пломбир в вафельном стаканчике, 90г",ЧИСТАЯ ЛИНИЯ,69.91,111,https://online.metro-cc.ru/products/raduga-chistaya-liniya-plombir-v-vafelnom-stakanchike-90g-bzmzh
Артикул: 66900,"Сорбет Amore Нежная малина, 270г",AMORE,279,349,https://online.metro-cc.ru/products/sorbet-amore-nezhnaya-malina-bzmzh-270g
Артикул: 128358,"Мороженое My Gelato Горгонзола, 90г",MY GELATO,99.90,129,https://online.metro-cc.ru/products/my-gelato-gorgonzola-90g-bzmzh
Артикул: 79260,"Мороженое 48 копеек Пломбир малина, 90г",48 КОПЕЕК,95.90,,https://online.metro-cc.ru/products/plombir-48-kopeek-malina-90g-bzmzh
Артикул: 128433,"RIOBA Мороженое Пломбир бельгийский шоколад, 75г",RIOBA,109,,https://online.metro-cc.ru/products/75g-plombir-rioba-belgijsk-shok-bzmzh
Артикул: 218340,"Мороженое Brandice банан-шоколад-кальций, 300г",BRANDICE,389,479,https://online.metro-cc.ru/products/morozhenoe-brandice-banan-shokolad-kaltsiy-300g
Артикул: 519385,"Мороженое Gelato Di Natura манго, 1.575кг",GELATO,1559,,https://online.metro-cc.ru/products/plombir-gelato-di-natura-mango-kontejner-15kg
Артикул: 219079,"Мороженое Snickers эскимо криспер, 64г",SNICKERS,125,,https://online.metro-cc.ru/products/64g-morozhenoe-eskimo-snickers-krisper-bzmzh
Артикул: 457568,"METRO Chef Щербет черносмородиновый, 1.5кг",METRO CHEF,659,,https://online.metro-cc.ru/products/scherbet-metro-chef-chernaya-smorodina-15kg
Артикул: 221090,"Мороженое Чистая Линия рожок фисташка, 110г",ЧИСТАЯ ЛИНИЯ,99.90,156,https://online.metro-cc.ru/products/110g-morozhenoe-rozhok-chistaya-liniya-fistashka-bzmzh
Артикул: 218342,"Мороженое Brandice волшебные леденцы, 550г",BRANDICE,399,759,https://online.metro-cc.ru/products/550g-morozhenoe-brandice-volshebnye-ledentsy-bzmzh
Артикул: 218350,"Мороженое Brandice шоколадное, 550г",BRANDICE,399,759,https://online.metro-cc.ru/products/morozhenoe-brandice-shokoladnoe-550g
Артикул: 226262,"Мороженое Вологодский пломбир брикет в шоколадных вафлях, 90г",ВОЛОГОДСКИЙ ПЛОМБИР,52.90,71.90,https://online.metro-cc.ru/products/90g-morozhen-briket-vologodskiy-plombir-aysberri-bzmzh
Артикул: 633572,"Мороженое Baskin Robbins Волшебные леденцы, 600г",BASKIN ROBBINS,679,,https://online.metro-cc.ru/products/baskin-robbins-dolshebnye-ledency-600g-bzmzh
Артикул: 66894,"Мороженое Amore Изысканная горгонзола, 270г",AMORE,279,349,https://online.metro-cc.ru/products/amore-izyskannaya-gorgonzola-bez-zamenitelya-molochnyh-zhirov-270-g
Артикул: 239870,"Мороженое Русский Холод Юбилейное домашнее шоколадное, 1кг",РУССКИЙ ХОЛОД,359,,https://online.metro-cc.ru/products/plombir-russkij-holod-yubilejnoe-shokoladnoe-flou-pak-1kg
Артикул: 239874,"Мороженое Русский Холод Юбилейное ванильное, 1кг",РУССКИЙ ХОЛОД,359,,https://online.metro-cc.ru/products/plombir-russkij-holod-yubilejnoe-vanilnoe-flou-pak-1kg
Артикул: 221094,"Мороженое Чистая Линия пломбир гранат-малина, 70г",ЧИСТАЯ ЛИНИЯ,89.90,139,https://online.metro-cc.ru/products/70g-morozhenoe-plombir-chistaya-liniya-granatmalin-bzmzh
Артикул: 84172,"Мороженое Oreo с дробленым печеньем рожок, 72г",OREO,118,,https://online.metro-cc.ru/products/oreo-s-droblenym-pechenyem-rozhok-bez-zamenitelya-molochnogo-zhira-73-g
Артикул: 128432,"RIOBA Мороженое Пломбир, 75г",RIOBA,72.90,,https://online.metro-cc.ru/products/75g-rioba-plombir-bzmzh
Артикул: 69646,"Мороженое Alpen Gold Эскимо, 58г",ALPEN GOLD,102,,https://online.metro-cc.ru/products/alpen-gold-eskimo-58g-bzmzh
Артикул: 226261,"Мороженое Вологодский пломбир Эскимо в шоколадной глазури, 80г",ВОЛОГОДСКИЙ ПЛОМБИР,52.90,60.90,https://online.metro-cc.ru/products/80g-morozhen-eskimo-vologodskiy-plombir-aysberri-bzmzh
Артикул: 128431,"RIOBA Мороженое кофе с печеньем амаретти, 75г",RIOBA,82.90,,https://online.metro-cc.ru/products/75g-rioba-kofe-s-peche-amaret-bzmzh
Артикул: 662188,"Мороженое Вологодский пломбир на вареном сгущенном молоке в вафельном стаканчике, 100г",ВОЛОГОДСКИЙ ПЛОМБИР,64.90,,https://online.metro-cc.ru/products/vologodskij-plombir-s-varenoj-sguschenkoj-100-g
Артикул: 128434,"RIOBA Мороженое Пломбир соленая карамель, 75г",RIOBA,82.90,,https://online.metro-cc.ru/products/75g-plombir-rioba-solyon-karam-bzmzh
Артикул: 602638,"Мороженое Вологодский пломбир шоколадный в вафельном стаканчике 15%, 100г",ВОЛОГОДСКИЙ ПЛОМБИР,64.90,,https://online.metro-cc.ru/products/plombir-vologodskij-shokolad-15-vafelnyj-stakanchik-100g
Артикул: 527884,"Мороженое Айсберри Филевский Пломбир пачка, 450г",АЙСБЕРРИ,249,,https://online.metro-cc.ru/products/plombir-ajsberri-filevskij-pachka-450g
Артикул: 128436,"RIOBA Мороженое сливочное мятное с шоколадом, 75г",RIOBA,99.90,,https://online.metro-cc.ru/products/75g-slivochn-rioba-myata-shokol-bzmzh
Артикул: 109176,"Чай Айскро бруснично-ежевичный с шиповником замороженный, 150г",АЙСКРО,199,,https://online.metro-cc.ru/products/chaj-brusnichno-ezhevichnyj-ajskro-s-shipovnikom-shalfeem-badyanom-muskatnym-cvetom-zamorozhennyj-150-g
Артикул: 112009,"Смесь ягодная Hortex облепиховый чай с имбирем и красной смородиной замороженная, 250г",HORTEX,99.90,166,https://online.metro-cc.ru/products/smes-yagodnaya-hortex-oblepihovyj-chaj-s-imbirem-krasnoj-cmorodinoj-zamorozhennaya-250-g
Артикул: 218343,"Мороженое Brandice миндаль-фисташка, 600г",BRANDICE,399,759,https://online.metro-cc.ru/products/600g-morozhenoe-brandice-mindalfistashka-bzmzh
Артикул: 226260,"Мороженое Филевское Шербет Смородина, 80г",ФИЛЕВСКОЕ,32.90,44.50,https://online.metro-cc.ru/products/80g-morozhen-filevskoe-aysberri-scherbet-smorodina-bzmzh
Артикул: 218290,"Мороженое Айскро с протеином ванильное 2%, 75г",АЙСКРО,123,,https://online.metro-cc.ru/products/75g-morozhenoe-s-proteinom-2-ayskro-vanilnoe-bzmzh
Артикул: 128360,"Сорбет My Gelato манго-имбирь, 90г",MY GELATO,99.90,129,https://online.metro-cc.ru/products/sorbet-my-gelato-mango-imbir-90g
Артикул: 218291,"Мороженое Айскро с протеином шоколад 2%, 75г",АЙСКРО,123,,https://online.metro-cc.ru/products/75g-morozhenoe-s-proteinom-2-ayskro-shokolad-bzmzh
Артикул: 593213,"Мороженое сливочное Iceumi Mochi клубника-банан в рисовой глазури (35г х 8шт), 300г",ICEUMI,839,,https://online.metro-cc.ru/products/modzhi-iceumi-mochi-klubnika-banan-v-upakovke-8h35g
Артикул: 562916,"Мороженое Вологодский пломбир 15% брикет, 250г",ВОЛОГОДСКИЙ ПЛОМБИР,152,,https://online.metro-cc.ru/products/plombir-ajsberri-vologodskij-briket-220g-bzmzh
Артикул: 100128,"Мороженое Snickers Эскимо молочное с карамелью и арахисом покрытое глазурью, 65г",SNICKERS,125,,https://online.metro-cc.ru/products/morozhenoe-eskimo-mars-snikers-65g-bzmzh
Артикул: 218487,"Мороженое Коровка из Кореновки клубника рожок, 120г",КОРОВКА ИЗ КОРЕНОВКИ,107,,https://online.metro-cc.ru/products/120g-morozhenoe-rozhok-korovka-iz-korenovki-klubn-bzmzh
Артикул: 356152,"Мороженое Чистая Линия Российское Эскимо Пломбир, 80г",ЧИСТАЯ ЛИНИЯ,69.91,124,https://online.metro-cc.ru/products/plombir-chistaya-liniya-rossijskoe-briket-80g-bzmzh
Артикул: 226259,"Мороженое Вологодский пломбир Эскимо манго в соковой глазури из сока манго, 60г",ВОЛОГОДСКИЙ ПЛОМБИР,54.90,73.90,https://online.metro-cc.ru/products/60g-morozhen-vologodskiy-plombir-aysberri-mango-bzmzh
Артикул: 218293,"Мороженое Brandice клубничное отличное, 60г",BRANDICE,109,155,https://online.metro-cc.ru/products/60g-morozhenoe-brandice-klubnichnoe-otlichnoe-bzmzh
Артикул: 219267,"Сорбет Amore нежная малина натуральный, 100г",AMORE,85.90,109,https://online.metro-cc.ru/products/100g-sorbet-amore-nezhnaya-malina-naturalnyy
Артикул: 639595,"Мороженое Магнат Мини Эскимо (49г х 6шт), 294г",МАГНАТ,499,,https://online.metro-cc.ru/products/plombir-magnat-mini-multipak-6h49g
Артикул: 128353,"Мороженое My Gelato арахис-карамель, 90г",MY GELATO,99.90,129,https://online.metro-cc.ru/products/my-gelato-arahis-karamel-90g-bzmzh
Артикул: 128359,"Сорбет My Gelato клубника-базилик, 90г",MY GELATO,99.90,129,https://online.metro-cc.ru/products/sorbet-my-gelato-klubnika-bazilik-90g
Артикул: 219264,"Сорбет Amore Голландская Клубника, 100г",AMORE,85.90,109,https://online.metro-cc.ru/products/100g-sorbet-amore-gollandskaya-klubnika-naturalnyy
